Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,Genotype,Developmental_stage,sex,Development_stage,sex_type,tissue,Cell_Line,stage,chip_antibody,Library Name,chip_antibody_supplier,transgene,antibody_manufacturer,input_experiment/sample
SRR1198420,ChIP-Seq,50,919447300,PRJNA63455,SAMN02338452,578303041,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494888,GSM1217305,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217305,seq-SDQ3942_KLE2_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198421,ChIP-Seq,50,1094979250,PRJNA63455,SAMN02338502,721252702,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494889,GSM1217306,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217306,seq-SDQ3942_KLE2_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198422,ChIP-Seq,50,2397530750,PRJNA63455,SAMN02338501,1650956865,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494890,GSM1217307,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217307,seq-SDQ3948_COH3_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198423,ChIP-Seq,50,919447300,PRJNA63455,SAMN02338454,578303206,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494891,GSM1217308,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217308,seq-SDQ3948_COH3_FEM2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198424,ChIP-Seq,42,614964924,PRJNA63455,SAMN02338498,737237831,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494892,GSM1217309,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217309,seq-SDQ3948_COH3_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198425,ChIP-Seq,50,878596500,PRJNA63455,SAMN02338500,551120987,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494893,GSM1217310,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217310,seq-SDQ3948_COH3_FEM2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198430,ChIP-Seq,42,674010876,PRJNA63455,SAMN02338489,809176713,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494898,GSM1217315,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217315,seq-SDQ3953_REC8_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198431,ChIP-Seq,42,450575454,PRJNA63455,SAMN02338494,549926255,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494899,GSM1217316,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217316,seq-SDQ3953_REC8_FEM2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198432,ChIP-Seq,42,682909038,PRJNA63455,SAMN02338496,827356729,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494900,GSM1217317,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217317,seq-SDQ3953_REC8_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198433,ChIP-Seq,42,598175424,PRJNA63455,SAMN02338486,723717158,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494901,GSM1217318,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217318,seq-SDQ3953_REC8_FEM2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198442,ChIP-Seq,42,674010876,PRJNA63455,SAMN02338543,809176703,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494910,GSM1217327,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217327,seq-SDQ3972_COH3_FEM2_AD_Input_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198443,ChIP-Seq,50,2397530750,PRJNA63455,SAMN02338553,1650956865,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494911,GSM1217328,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217328,seq-SDQ3972_COH3_FEM2_AD_Input_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198444,ChIP-Seq,42,403071732,PRJNA63455,SAMN02338550,489290823,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494912,GSM1217329,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217329,seq-SDQ3972_COH3_FEM2_AD_ChIP_Rep1,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198445,ChIP-Seq,50,1483300800,PRJNA63455,SAMN02338539,975456539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494913,GSM1217330,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217330,seq-SDQ3972_COH3_FEM2_AD_ChIP_Rep2,SRP007859,fem-2(b245),fem-2(b245)III,Germline containing young adult,hermaphrodite,,,,,,,,,,,
SRR1198514,ChIP-Seq,28,399256788,PRJNA63455,SAMN02338714,243884403,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494982,GSM1217401,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217401,seq-ab9051_H4K20me1_TY1072_Mxemb_Input_Rep1,SRP007859,TY1072,her-1(e1520) V; sdc-2(y74) X,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,None,,
SRR1198515,ChIP-Seq,42,574640472,PRJNA63455,SAMN02338707,356890956,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494983,GSM1217402,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217402,seq-ab9051_H4K20me1_TY1072_Mxemb_Input_Rep2,SRP007859,TY1072,her-1(e1520) V; sdc-2(y74) X,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,None,,
SRR1198516,ChIP-Seq,42,420663348,PRJNA63455,SAMN02338689,265686288,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494984,GSM1217403,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217403,seq-ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep1,SRP007859,TY1072,her-1(e1520) V; sdc-2(y74) X,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,None,,
SRR1198517,ChIP-Seq,42,486898314,PRJNA63455,SAMN02338711,303378296,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494985,GSM1217404,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217404,seq-ab9051_H4K20me1_TY1072_Mxemb_ChIP_Rep2,SRP007859,TY1072,her-1(e1520) V; sdc-2(y74) X,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,None,,
SRR1198526,ChIP-Seq,42,950087880,PRJNA63455,SAMN02338624,1110589302,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494994,GSM1217413,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217413,seq-OD0039_SMC4_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198527,ChIP-Seq,50,940637150,PRJNA63455,SAMN02338609,574179306,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494995,GSM1217414,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217414,seq-OD0039_SMC4_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198528,ChIP-Seq,50,876720250,PRJNA63455,SAMN02338620,538726224,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX494996,GSM1217416,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217416,seq-OD0039_SMC4_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198541,ChIP-Seq,42,423163398,PRJNA63455,SAMN02338589,267882206,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495009,GSM1217429,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217429,seq-SDQ3499_DPY30_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198542,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338601,407019598,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495010,GSM1217430,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217430,seq-SDQ3499_DPY30_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198543,ChIP-Seq,42,495648594,PRJNA63455,SAMN02338603,294018796,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495011,GSM1217431,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217431,seq-SDQ3499_DPY30_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198544,ChIP-Seq,42,522036732,PRJNA63455,SAMN02338584,647556762,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495012,GSM1217432,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217432,seq-SDQ3499_DPY30_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198549,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338600,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495017,GSM1217437,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217437,seq-SDQ3856_SDC1_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198550,ChIP-Seq,42,580000554,PRJNA63455,SAMN02338582,746741479,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495018,GSM1217438,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217438,seq-SDQ3856_SDC1_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198551,ChIP-Seq,42,543445224,PRJNA63455,SAMN02338593,384328605,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495019,GSM1217439,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217439,seq-SDQ3856_SDC1_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198552,ChIP-Seq,42,833322462,PRJNA63455,SAMN02338658,979341737,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495020,GSM1217440,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217440,seq-SDQ3856_SDC1_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198553,ChIP-Seq,42,791902188,PRJNA63455,SAMN02338641,499796264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495021,GSM1217441,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217441,seq-SDQ3892_MIX1_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198554,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338651,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495022,GSM1217442,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217442,seq-SDQ3892_MIX1_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198555,ChIP-Seq,42,732504822,PRJNA63455,SAMN02338654,457153328,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495023,GSM1217443,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217443,seq-SDQ3892_MIX1_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198556,ChIP-Seq,42,492329502,PRJNA63455,SAMN02338642,589523427,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495024,GSM1217444,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217444,seq-SDQ3892_MIX1_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198581,ChIP-Seq,42,791902188,PRJNA63455,SAMN02338626,499796264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495049,GSM1217469,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217469,seq-SDQ4481_PQN85_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198582,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338690,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495050,GSM1217470,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217470,seq-SDQ4481_PQN85_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198583,ChIP-Seq,42,574864164,PRJNA63455,SAMN02338665,365275380,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495051,GSM1217471,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217471,seq-SDQ4481_PQN85_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198584,ChIP-Seq,42,512190084,PRJNA63455,SAMN02338678,587730308,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495052,GSM1217472,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217472,seq-SDQ4481_PQN85_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198585,ChIP-Seq,42,791902188,PRJNA63455,SAMN02338686,499796264,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495053,GSM1217473,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217473,seq-SDQ4493_MAU2_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198586,ChIP-Seq,42,580000554,PRJNA63455,SAMN02338664,746742310,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495054,GSM1217474,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217474,seq-SDQ4493_MAU2_N2_Mxemb_Input_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198587,ChIP-Seq,42,483152460,PRJNA63455,SAMN02338676,305969272,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495055,GSM1217475,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217475,seq-SDQ4493_MAU2_N2_Mxemb_ChIP_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198588,ChIP-Seq,42,738300024,PRJNA63455,SAMN02338683,874224455,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495056,GSM1217476,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2014-05-21T00:00:00Z,GSM1217476,seq-SDQ4493_MAU2_N2_Mxemb_ChIP_Rep2,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
SRR1198589,ChIP-Seq,42,560214690,PRJNA63455,SAMN02338660,407019612,GEO,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX495057,GSM1217477,Illumina Genome Analyzer,SINGLE,ChIP,GENOMIC,Caenorhabditis elegans,ILLUMINA,2015-07-22T00:00:00Z,GSM1217477,seq-SDQ4496_DPY26_N2_Mxemb_Input_Rep1,SRP007859,N2,wild type,Mixed Embryo,,,mixed Male and Hermaphrodite population,,,,,,,,,
