"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
7	"modENCODE_6300"	"seq-SDQ4663 RPC1 N2 L3"	"L3 Larval Stage"	"SDQ4663_RPC1"	"RPC-1"	"N2"	"20 degree celsius"	"GSM1217517;GSM1217518;GSM1217519;GSM1217520"	"SRR1198629"	"SRR1198631"	"seq-SDQ4663_RPC1_N2_L3_Input_Rep1;seq-SDQ4663_RPC1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	7
7	"modENCODE_6300"	"seq-SDQ4663 RPC1 N2 L3"	"L3 Larval Stage"	"SDQ4663_RPC1"	"RPC-1"	"N2"	"20 degree celsius"	"GSM1217517;GSM1217518;GSM1217519;GSM1217520"	"SRR1198630"	"SRR1198632"	"seq-SDQ4663_RPC1_N2_L3_Input_Rep2;seq-SDQ4663_RPC1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	7
8	"modENCODE_6297"	"seq-SDQ4640 SWD3 N2 Mxemb"	"Mixed Stage Embryos"	"SWD-3_SDQ4640"	"SWD-3"	"N2"	"20 degree celsius"	"GSM1217513;GSM1217514;GSM1217515;GSM1217516"	"SRR1198625"	"SRR1198627"	"seq-SDQ4640_SWD3_N2_Mxemb_Input_Rep1;seq-SDQ4640_SWD3_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	8
8	"modENCODE_6297"	"seq-SDQ4640 SWD3 N2 Mxemb"	"Mixed Stage Embryos"	"SWD-3_SDQ4640"	"SWD-3"	"N2"	"20 degree celsius"	"GSM1217513;GSM1217514;GSM1217515;GSM1217516"	"SRR1198626"	"SRR1198628"	"seq-SDQ4640_SWD3_N2_Mxemb_Input_Rep2;seq-SDQ4640_SWD3_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	8
9	"modENCODE_6285"	"seq-SDQ4564 DPY28 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-28_SDQ4564"	"dpy-28"	"N2"	"20 degree celsius"	"GSM1217505;GSM1217506;GSM1217507;GSM1217508"	"SRR1198617"	"SRR1198619"	"seq-SDQ4564_DPY28_N2_Mxemb_Input_Rep1;seq-SDQ4564_DPY28_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	9
9	"modENCODE_6285"	"seq-SDQ4564 DPY28 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-28_SDQ4564"	"dpy-28"	"N2"	"20 degree celsius"	"GSM1217505;GSM1217506;GSM1217507;GSM1217508"	"SRR1198618"	"SRR1198620"	"seq-SDQ4564_DPY28_N2_Mxemb_Input_Rep2;seq-SDQ4564_DPY28_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	9
10	"modENCODE_6283"	"seq-SDQ4562 SMC6 N2 Mxemb"	"Mixed Stage Embryos"	"SMC-6_SDQ4562"	"smc-6"	"N2"	"20 degree celsius"	"GSM1217501;GSM1217502;GSM1217503;GSM1217504"	"SRR1198613"	"SRR1198615"	"seq-SDQ4562_SMC6_N2_Mxemb_Input_Rep1;seq-SDQ4562_SMC6_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	10
10	"modENCODE_6283"	"seq-SDQ4562 SMC6 N2 Mxemb"	"Mixed Stage Embryos"	"SMC-6_SDQ4562"	"smc-6"	"N2"	"20 degree celsius"	"GSM1217501;GSM1217502;GSM1217503;GSM1217504"	"SRR1198614"	"SRR1198616"	"seq-SDQ4562_SMC6_N2_Mxemb_Input_Rep2;seq-SDQ4562_SMC6_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	10
11	"modENCODE_6282"	"seq-SDQ0809 COH1 fem2 AD"	"Germline containing young adult"	"COH-1_SDQ0812"	"coh-1"	"DH245"	"20 degree celsius"	"GSM1217497;GSM1217498;GSM1217499;GSM1217500"	"SRR1198609"	"SRR1198611"	"seq-SDQ0809_COH1_fem2_AD_Input_Rep1;seq-SDQ0809_COH1_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	11
11	"modENCODE_6282"	"seq-SDQ0809 COH1 fem2 AD"	"Germline containing young adult"	"COH-1_SDQ0812"	"coh-1"	"DH245"	"20 degree celsius"	"GSM1217497;GSM1217498;GSM1217499;GSM1217500"	"SRR1198610"	"SRR1198612"	"seq-SDQ0809_COH1_fem2_AD_Input_Rep2;seq-SDQ0809_COH1_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	11
12	"modENCODE_6281"	"seq-SDQ4561 DPY26 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-26_SDQ4561"	"dpy-26"	"N2"	"20 degree celsius"	"GSM1217493;GSM1217494;GSM1217495;GSM1217496"	"SRR1198605"	"SRR1198607"	"seq-SDQ4561_DPY26_N2_Mxemb_Input_Rep1;seq-SDQ4561_DPY26_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	12
12	"modENCODE_6281"	"seq-SDQ4561 DPY26 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-26_SDQ4561"	"dpy-26"	"N2"	"20 degree celsius"	"GSM1217493;GSM1217494;GSM1217495;GSM1217496"	"SRR1198606"	"SRR1198608"	"seq-SDQ4561_DPY26_N2_Mxemb_Input_Rep2;seq-SDQ4561_DPY26_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	12
13	"modENCODE_6278"	"seq-SDQ3914 REC8 fem2 AD"	"Germline containing young adult"	"REC-8_SDQ3914"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217489;GSM1217490;GSM1217491;GSM1217492"	"SRR1198601"	"SRR1198603"	"seq-SDQ3914_REC8_fem2_AD_Input_Rep1;seq-SDQ3914_REC8_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	13
13	"modENCODE_6278"	"seq-SDQ3914 REC8 fem2 AD"	"Germline containing young adult"	"REC-8_SDQ3914"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217489;GSM1217490;GSM1217491;GSM1217492"	"SRR1198602"	"SRR1198604"	"seq-SDQ3914_REC8_fem2_AD_Input_Rep2;seq-SDQ3914_REC8_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	13
14	"modENCODE_6276"	"seq-SDQ0802 REC8 fem2 AD"	"Germline containing young adult"	"SDQ0802-REC8"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217485;GSM1217486;GSM1217487;GSM1217488"	"SRR1198597"	"SRR1198599"	"seq-SDQ0802_REC8_fem2_AD_Input_Rep1;seq-SDQ0802_REC8_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	14
14	"modENCODE_6276"	"seq-SDQ0802 REC8 fem2 AD"	"Germline containing young adult"	"SDQ0802-REC8"	"rec-8"	"DH245"	"20 degree celsius"	"GSM1217485;GSM1217486;GSM1217487;GSM1217488"	"SRR1198598"	"SRR1198600"	"seq-SDQ0802_REC8_fem2_AD_Input_Rep2;seq-SDQ0802_REC8_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	14
15	"modENCODE_6272"	"seq-G0655G0656 HTP3 fem2 AD"	"Germline containing young adult"	"HTP-3_G0655G0656"	"htp-3"	"DH245"	"20 degree celsius"	"GSM1217481;GSM1217482;GSM1217483;GSM1217484"	"SRR1198593"	"SRR1198595"	"seq-G0655G0656_HTP3_fem2_AD_Input_Rep1;seq-G0655G0656_HTP3_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	15
15	"modENCODE_6272"	"seq-G0655G0656 HTP3 fem2 AD"	"Germline containing young adult"	"HTP-3_G0655G0656"	"htp-3"	"DH245"	"20 degree celsius"	"GSM1217481;GSM1217482;GSM1217483;GSM1217484"	"SRR1198594"	"SRR1198596"	"seq-G0655G0656_HTP3_fem2_AD_Input_Rep2;seq-G0655G0656_HTP3_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	15
16	"modENCODE_6269"	"seq-SDQ4496 DPY26 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-26_SDQ4496"	"dpy-26"	"N2"	"20 degree celsius"	"GSM1217477;GSM1217478;GSM1217479;GSM1217480"	"SRR1198589"	"SRR1198591"	"seq-SDQ4496_DPY26_N2_Mxemb_Input_Rep1;seq-SDQ4496_DPY26_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	16
16	"modENCODE_6269"	"seq-SDQ4496 DPY26 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-26_SDQ4496"	"dpy-26"	"N2"	"20 degree celsius"	"GSM1217477;GSM1217478;GSM1217479;GSM1217480"	"SRR1198590"	"SRR1198592"	"seq-SDQ4496_DPY26_N2_Mxemb_Input_Rep2;seq-SDQ4496_DPY26_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	16
17	"modENCODE_6267"	"seq-SDQ4493 MAU2 N2 Mxemb"	"Mixed Stage Embryos"	"MAU-2_SDQ4493"	"mau-2"	"N2"	"20 degree celsius"	"GSM1217473;GSM1217474;GSM1217475;GSM1217476"	"SRR1198585"	"SRR1198587"	"seq-SDQ4493_MAU2_N2_Mxemb_Input_Rep1;seq-SDQ4493_MAU2_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	17
17	"modENCODE_6267"	"seq-SDQ4493 MAU2 N2 Mxemb"	"Mixed Stage Embryos"	"MAU-2_SDQ4493"	"mau-2"	"N2"	"20 degree celsius"	"GSM1217473;GSM1217474;GSM1217475;GSM1217476"	"SRR1198586"	"SRR1198588"	"seq-SDQ4493_MAU2_N2_Mxemb_Input_Rep2;seq-SDQ4493_MAU2_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	17
18	"modENCODE_6265"	"seq-SDQ4481 PQN85 N2 Mxemb"	"Mixed Stage Embryos"	"PQN-85_SDQ4481"	"pqn-85"	"N2"	"20 degree celsius"	"GSM1217469;GSM1217470;GSM1217471;GSM1217472"	"SRR1198581"	"SRR1198583"	"seq-SDQ4481_PQN85_N2_Mxemb_Input_Rep1;seq-SDQ4481_PQN85_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	18
18	"modENCODE_6265"	"seq-SDQ4481 PQN85 N2 Mxemb"	"Mixed Stage Embryos"	"PQN-85_SDQ4481"	"pqn-85"	"N2"	"20 degree celsius"	"GSM1217469;GSM1217470;GSM1217471;GSM1217472"	"SRR1198582"	"SRR1198584"	"seq-SDQ4481_PQN85_N2_Mxemb_Input_Rep2;seq-SDQ4481_PQN85_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	18
20	"modENCODE_6257"	"seq-SDQ4154 IMB1 N2 Mxemb"	"Mixed Stage Embryos"	"SDQ4154_IMB1"	"IMB-1"	"N2"	"20 degree celsius"	"GSM1217465;GSM1217466;GSM1217467;GSM1217468"	"SRR1198577"	"SRR1198579"	"seq-SDQ4154_IMB1_N2_Mxemb_Input_Rep1;seq-SDQ4154_IMB1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	20
20	"modENCODE_6257"	"seq-SDQ4154 IMB1 N2 Mxemb"	"Mixed Stage Embryos"	"SDQ4154_IMB1"	"IMB-1"	"N2"	"20 degree celsius"	"GSM1217465;GSM1217466;GSM1217467;GSM1217468"	"SRR1198578"	"SRR1198580"	"seq-SDQ4154_IMB1_N2_Mxemb_Input_Rep2;seq-SDQ4154_IMB1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	20
21	"modENCODE_6251"	"seq-SDQ4109 TAF1 N2 Mxemb"	"Mixed Stage Embryos"	"TAF-1_SDQ4109"	"taf-1"	"N2"	"20 degree celsius"	"GSM1217453;GSM1217454;GSM1217455;GSM1217456"	"SRR1198565"	"SRR1198567"	"seq-SDQ4109_TAF1_N2_Mxemb_Input_Rep1;seq-SDQ4109_TAF1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	21
21	"modENCODE_6251"	"seq-SDQ4109 TAF1 N2 Mxemb"	"Mixed Stage Embryos"	"TAF-1_SDQ4109"	"taf-1"	"N2"	"20 degree celsius"	"GSM1217453;GSM1217454;GSM1217455;GSM1217456"	"SRR1198566"	"SRR1198568"	"seq-SDQ4109_TAF1_N2_Mxemb_Input_Rep2;seq-SDQ4109_TAF1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	21
22	"modENCODE_6237"	"seq-SDQ3892 MIX1 N2 Mxemb"	"Mixed Stage Embryos"	"MIX-1_SDQ3892"	"mix-1"	"N2"	"20 degree celsius"	"GSM1217441;GSM1217442;GSM1217443;GSM1217444"	"SRR1198553"	"SRR1198555"	"seq-SDQ3892_MIX1_N2_Mxemb_Input_Rep1;seq-SDQ3892_MIX1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	22
22	"modENCODE_6237"	"seq-SDQ3892 MIX1 N2 Mxemb"	"Mixed Stage Embryos"	"MIX-1_SDQ3892"	"mix-1"	"N2"	"20 degree celsius"	"GSM1217441;GSM1217442;GSM1217443;GSM1217444"	"SRR1198554"	"SRR1198556"	"seq-SDQ3892_MIX1_N2_Mxemb_Input_Rep2;seq-SDQ3892_MIX1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	22
23	"modENCODE_6235"	"seq-SDQ3856 SDC1 N2 Mxemb"	"Mixed Stage Embryos"	"SDC-1_SDQ3856"	"sdc-1"	"N2"	"20 degree celsius"	"GSM1217437;GSM1217438;GSM1217439;GSM1217440"	"SRR1198549"	"SRR1198551"	"seq-SDQ3856_SDC1_N2_Mxemb_Input_Rep1;seq-SDQ3856_SDC1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	23
23	"modENCODE_6235"	"seq-SDQ3856 SDC1 N2 Mxemb"	"Mixed Stage Embryos"	"SDC-1_SDQ3856"	"sdc-1"	"N2"	"20 degree celsius"	"GSM1217437;GSM1217438;GSM1217439;GSM1217440"	"SRR1198550"	"SRR1198552"	"seq-SDQ3856_SDC1_N2_Mxemb_Input_Rep2;seq-SDQ3856_SDC1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	23
24	"modENCODE_6234"	"seq-SDQ3582 CBP1 N2 Mxemb"	"Mixed Stage Embryos"	"SDQ3582_CBP1"	"cbp-1"	"N2"	"20 degree celsius"	"GSM1217433;GSM1217434;GSM1217435;GSM1217436"	"SRR1198545"	"SRR1198547"	"seq-SDQ3582_CBP1_N2_Mxemb_Input_Rep1;seq-SDQ3582_CBP1_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	24
24	"modENCODE_6234"	"seq-SDQ3582 CBP1 N2 Mxemb"	"Mixed Stage Embryos"	"SDQ3582_CBP1"	"cbp-1"	"N2"	"20 degree celsius"	"GSM1217433;GSM1217434;GSM1217435;GSM1217436"	"SRR1198546"	"SRR1198548"	"seq-SDQ3582_CBP1_N2_Mxemb_Input_Rep2;seq-SDQ3582_CBP1_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	24
25	"modENCODE_6232"	"seq-SDQ3499 DPY30 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-30_SDQ3499"	"dpy-30"	"N2"	"20 degree celsius"	"GSM1217429;GSM1217430;GSM1217431;GSM1217432"	"SRR1198541"	"SRR1198543"	"seq-SDQ3499_DPY30_N2_Mxemb_Input_Rep1;seq-SDQ3499_DPY30_N2_Mxemb_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	25
25	"modENCODE_6232"	"seq-SDQ3499 DPY30 N2 Mxemb"	"Mixed Stage Embryos"	"DPY-30_SDQ3499"	"dpy-30"	"N2"	"20 degree celsius"	"GSM1217429;GSM1217430;GSM1217431;GSM1217432"	"SRR1198542"	"SRR1198544"	"seq-SDQ3499_DPY30_N2_Mxemb_Input_Rep2;seq-SDQ3499_DPY30_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	25
26	"modENCODE_6230"	"seq-SDQ2357Q2358 AMA1 N2 Mxemb RiIMB1"	"Mixed Stage Embryos"	"AMA-1_SDQ2358"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217425;GSM1217426;GSM1217427;GSM1217428"	"SRR1198537"	"SRR1198539"	"seq-SDQ2357Q2358_AMA1_N2_Mxemb_RiIMB1_Input_Rep1;seq-SDQ2357Q2358_AMA1_N2_Mxemb_RiIMB1_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	26
26	"modENCODE_6230"	"seq-SDQ2357Q2358 AMA1 N2 Mxemb RiIMB1"	"Mixed Stage Embryos"	"AMA-1_SDQ2358"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217425;GSM1217426;GSM1217427;GSM1217428"	"SRR1198538"	"SRR1198540"	"seq-SDQ2357Q2358_AMA1_N2_Mxemb_RiIMB1_Input_Rep2;seq-SDQ2357Q2358_AMA1_N2_Mxemb_RiIMB1_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	26
27	"modENCODE_6227"	"seq-SDQ2357Q2358 AMA1 N2 Mxemb EE"	"Mixed Stage Embryos"	"SDQ2357-AMA1"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217421;GSM1217422;GSM1217423;GSM1217424"	"SRR1198533"	"SRR1198535"	"seq-SDQ2357Q2358_AMA1_N2_Mxemb_EE_Input_Rep1;seq-SDQ2357Q2358_AMA1_N2_Mxemb_EE_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	27
27	"modENCODE_6227"	"seq-SDQ2357Q2358 AMA1 N2 Mxemb EE"	"Mixed Stage Embryos"	"SDQ2357-AMA1"	"ama-1"	"N2"	"20 degree celsius"	"GSM1217421;GSM1217422;GSM1217423;GSM1217424"	"SRR1198534"	"SRR1198536"	"seq-SDQ2357Q2358_AMA1_N2_Mxemb_EE_Input_Rep2;seq-SDQ2357Q2358_AMA1_N2_Mxemb_EE_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	27
28	"modENCODE_6223"	"seq-SDQ0839 TBP1 N2 Mxemb EE"	"Mixed Stage Embryos"	"SDQ0839_TBP1"	"TBP-1"	"N2"	"20 degree celsius"	"GSM1217417;GSM1217418;GSM1217419;GSM1217420"	"SRR1198529"	"SRR1198531"	"seq-SDQ0839_TBP1_N2_Mxemb_EE_Input_Rep1;seq-SDQ0839_TBP1_N2_Mxemb_EE_ChIP_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	28
28	"modENCODE_6223"	"seq-SDQ0839 TBP1 N2 Mxemb EE"	"Mixed Stage Embryos"	"SDQ0839_TBP1"	"TBP-1"	"N2"	"20 degree celsius"	"GSM1217417;GSM1217418;GSM1217419;GSM1217420"	"SRR1198530"	"SRR1198532"	"seq-SDQ0839_TBP1_N2_Mxemb_EE_Input_Rep2;seq-SDQ0839_TBP1_N2_Mxemb_EE_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	28
29	"modENCODE_6219"	"seq-OD0039 SMC4 N2 Mxemb"	"Mixed Stage Embryos"	"SMC-4_OD00039"	"smc-4"	"N2"	"20 degree celsius"	"GSM1217413;GSM1217414;GSM1217415;GSM1217416"	"SRR1198526"	"SRR1198528"	"seq-OD0039_SMC4_N2_Mxemb_Input_Rep1"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	29
29	"modENCODE_6219"	"seq-OD0039 SMC4 N2 Mxemb"	"Mixed Stage Embryos"	"SMC-4_OD00039"	"smc-4"	"N2"	"20 degree celsius"	"GSM1217413;GSM1217414;GSM1217415;GSM1217416"	"SRR1198527"	"SRR1198528"	"seq-OD0039_SMC4_N2_Mxemb_Input_Rep2;seq-OD0039_SMC4_N2_Mxemb_ChIP_Rep2"	"wild type"	"N2"	"Mixed Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	29
