"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"Input_SRR"	"IP_SRR"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
13	"modENCODE_5169"	"seq-ab3594 H3K79me2 346021 N2 Eemb"	"Early Stage Embryos "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206380;GSM1206381;GSM1206382;GSM1206383"	"SRR1163617;SRR1163618"	"SRR1163619;SRR1163620"	"SRR1163617"	"SRR1163619"	"seq-ab3594_H3K79me2_346021_N2_Eemb_Input_Rep1;seq-ab3594_H3K79me2_346021_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	13
13	"modENCODE_5169"	"seq-ab3594 H3K79me2 346021 N2 Eemb"	"Early Stage Embryos "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206380;GSM1206381;GSM1206382;GSM1206383"	"SRR1163617;SRR1163618"	"SRR1163619;SRR1163620"	"SRR1163618"	"SRR1163620"	"seq-ab3594_H3K79me2_346021_N2_Eemb_Input_Rep2;seq-ab3594_H3K79me2_346021_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	13
14	"modENCODE_5047"	"seq-AB3594 H3K79me2 346021 N2 L3"	"L3 Larval Stage "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206316;GSM1206317;GSM1206318;GSM1206319"	" SRR1163553;SRR1163554"	"SRR1163555;SRR1163556"	"SRR1163553"	"SRR1163555"	"seq-AB3594_H3K79me2:346021_N2_L3_Input_Rep1;seq-AB3594_H3K79me2:346021_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	14
14	"modENCODE_5047"	"seq-AB3594 H3K79me2 346021 N2 L3"	"L3 Larval Stage "	"AB3594 H3K79me2:346021 "	"H3K79me2 "	"N2 "	"20 degree celsius "	"GSM1206316;GSM1206317;GSM1206318;GSM1206319"	" SRR1163553;SRR1163554"	"SRR1163555;SRR1163556"	"SRR1163554"	"SRR1163556"	"seq-AB3594_H3K79me2:346021_N2_L3_Input_Rep2;seq-AB3594_H3K79me2:346021_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	14
15	"modENCODE_5252"	"seq-ab45142 H2AK5ac FEM2 YA"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"DH245 "	"20 degree celsius "	"GSM1217357;GSM1217358;GSM1217359;GSM1217360"	"SRR1198471;SRR1198472"	"SRR1198473;SRR1198474"	"SRR1198471"	"SRR1198473"	"seq-ab45142_H2AK5ac_FEM2_YA_Input_Rep1;seq-ab45142_H2AK5ac_FEM2_YA_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	15
15	"modENCODE_5252"	"seq-ab45142 H2AK5ac FEM2 YA"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"DH245 "	"20 degree celsius "	"GSM1217357;GSM1217358;GSM1217359;GSM1217360"	"SRR1198471;SRR1198472"	"SRR1198473;SRR1198474"	"SRR1198472"	"SRR1198474"	"seq-ab45142_H2AK5ac_FEM2_YA_Input_Rep2;seq-ab45142_H2AK5ac_FEM2_YA_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	15
16	"modENCODE_5251"	"seq-ab45142 H2AK5ac ojIs9 YA germline"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217353;GSM1217354;GSM1217355;GSM1217356"	"SRR1198467;SRR1198468"	"SRR1198469;SRR1198470"	"SRR1198467"	"SRR1198469"	"seq-ab45142_H2AK5ac_ojIs9_YA_germline_Input_Rep1;seq-ab45142_H2AK5ac_ojIs9_YA_germline_ChIP_Rep1"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep1"	16
16	"modENCODE_5251"	"seq-ab45142 H2AK5ac ojIs9 YA germline"	"Germline containing young adult "	"H2AK5ac_ab45142 "	"H2AK5ac "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217353;GSM1217354;GSM1217355;GSM1217356"	"SRR1198467;SRR1198468"	"SRR1198469;SRR1198470"	"SRR1198468"	"SRR1198470"	"seq-ab45142_H2AK5ac_ojIs9_YA_germline_Input_Rep2;seq-ab45142_H2AK5ac_ojIs9_YA_germline_ChIP_Rep2"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep2"	16
17	"modENCODE_5174"	"seq-Ab52946 H3K14ac FEM2 AD"	"Germline containing young adult "	"H3K14ac_ab52946 "	"H3K14ac "	"DH245 "	"20 degree celsius "	"GSM1217271;GSM1217272;GSM1217273;GSM1217274"	"SRR1198388;SRR1198389"	"SRR1198390;SRR1198391"	"SRR1198388"	"SRR1198390"	"seq-Ab52946_H3K14ac_FEM2_AD_Input_Rep1;seq-Ab52946_H3K14ac_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	17
17	"modENCODE_5174"	"seq-Ab52946 H3K14ac FEM2 AD"	"Germline containing young adult "	"H3K14ac_ab52946 "	"H3K14ac "	"DH245 "	"20 degree celsius "	"GSM1217271;GSM1217272;GSM1217273;GSM1217274"	"SRR1198388;SRR1198389"	"SRR1198390;SRR1198391"	"SRR1198389"	"SRR1198391"	"seq-Ab52946_H3K14ac_FEM2_AD_Input_Rep2;seq-Ab52946_H3K14ac_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	17
18	"modENCODE_6254"	"seq-Ab6002 H3K27me3 fem2 AD"	"Germline containing young adult "	"AB6002_H3K27me3_471901 "	"H3K27me3 "	"DH245 "	"20 degree celsius "	"GSM1217457;GSM1217458;GSM1217459;GSM1217460"	"SRR1198569;SRR1198570"	"SRR1198571;SRR1198572"	"SRR1198569"	"SRR1198571"	"seq-Ab6002_H3K27me3_fem2_AD_Input_Rep1;seq-Ab6002_H3K27me3_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	18
18	"modENCODE_6254"	"seq-Ab6002 H3K27me3 fem2 AD"	"Germline containing young adult "	"AB6002_H3K27me3_471901 "	"H3K27me3 "	"DH245 "	"20 degree celsius "	"GSM1217457;GSM1217458;GSM1217459;GSM1217460"	"SRR1198569;SRR1198570"	"SRR1198571;SRR1198572"	"SRR1198570"	"SRR1198572"	"seq-Ab6002_H3K27me3_fem2_AD_Input_Rep2;seq-Ab6002_H3K27me3_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	18
19	"modENCODE_5158"	"seq-ab8895 H3K4me1 733246 N2 Eemb"	"Early Stage Embryos "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"N2 "	"20 degree celsius "	"GSM1217259;GSM1217260;GSM1217261;GSM1217262"	"SRR1198376;SRR1198377"	"SRR1198378;SRR1198379"	"SRR1198376"	"SRR1198378"	"seq-ab8895_H3K4me1_733246_N2_Eemb_Input_Rep1;seq-ab8895_H3K4me1_733246_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep1"	19
19	"modENCODE_5158"	"seq-ab8895 H3K4me1 733246 N2 Eemb"	"Early Stage Embryos "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"N2 "	"20 degree celsius "	"GSM1217259;GSM1217260;GSM1217261;GSM1217262"	"SRR1198376;SRR1198377"	"SRR1198378;SRR1198379"	"SRR1198377"	"SRR1198379"	"seq-ab8895_H3K4me1_733246_N2_Eemb_Input_Rep2;seq-ab8895_H3K4me1_733246_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite"	"rep2"	19
20	"modENCODE_5048"	"seq-ab8895 H3K4me1 733246 N2 L3"	"L3 Larval Stage "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"N2 "	"20 degree celsius "	"GSM1195403;GSM1195404;GSM1195405;GSM1195406"	"SRR1265830;SRR1265831"	"SRR1265832;SRR1265833"	"SRR1265830"	"SRR1265832"	"seq-ab8895_H3K4me1:733246_N2_L3_Input_Rep1;seq-ab8895_H3K4me1:733246_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	20
20	"modENCODE_5048"	"seq-ab8895 H3K4me1 733246 N2 L3"	"L3 Larval Stage "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"N2 "	"20 degree celsius "	"GSM1195403;GSM1195404;GSM1195405;GSM1195406"	"SRR1265830;SRR1265831"	"SRR1265832;SRR1265833"	"SRR1265831"	"SRR1265833"	"seq-ab8895_H3K4me1:733246_N2_L3_Input_Rep2;seq-ab8895_H3K4me1:733246_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	20
21	"modENCODE_6246"	"seq-Ab8895 H3K4me1 fem2 AD"	"Germline containing young adult "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"DH245 "	"20 degree celsius "	"GSM1217449;GSM1217450;GSM1217451;GSM1217452"	"SRR1198561;SRR1198562"	"SRR1198563;SRR1198564"	"SRR1198561"	"SRR1198563"	"seq-Ab8895_H3K4me1_fem2_AD_Input_Rep1;seq-Ab8895_H3K4me1_fem2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	21
21	"modENCODE_6246"	"seq-Ab8895 H3K4me1 fem2 AD"	"Germline containing young adult "	"ab8895_H3K4me1:733246 "	"H3K4me1 "	"DH245 "	"20 degree celsius "	"GSM1217449;GSM1217450;GSM1217451;GSM1217452"	"SRR1198561;SRR1198562"	"SRR1198563;SRR1198564"	"SRR1198562"	"SRR1198564"	"seq-Ab8895_H3K4me1_fem2_AD_Input_Rep2;seq-Ab8895_H3K4me1_fem2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	21
22	"modENCODE_5171"	"seq-ab8896 H3K9me1 104560 N2 Eemb"	"Early Stage Embryos "	"ab8896_H3K9me1:104560 "	"H3K9me1 "	"N2 "	"20 degree celsius "	"GSM1206388;GSM1206389;GSM1206390;GSM1206391"	"SRR1163625;SRR1163626"	"SRR1163627;SRR1163628"	"SRR1163625"	"SRR1163627"	"seq-ab8896_H3K9me1_104560_N2_Eemb_Input_Rep1;seq-ab8896_H3K9me1_104560_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	22
22	"modENCODE_5171"	"seq-ab8896 H3K9me1 104560 N2 Eemb"	"Early Stage Embryos "	"ab8896_H3K9me1:104560 "	"H3K9me1 "	"N2 "	"20 degree celsius "	"GSM1206388;GSM1206389;GSM1206390;GSM1206391"	"SRR1163625;SRR1163626"	"SRR1163627;SRR1163628"	"SRR1163626"	"SRR1163628"	"seq-ab8896_H3K9me1_104560_N2_Eemb_Input_Rep2;seq-ab8896_H3K9me1_104560_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	22
23	"modENCODE_5036"	"seq-ab8896 H3K9me1 104560 N2 L3"	"L3 Larval Stage "	"ab8896_H3K9me1:104560 "	"H3K9me1 "	"N2 "	"20 degree celsius "	"GSM1195399;GSM1195400;GSM1195401;GSM1195402"	""	""	"SRR1265826"	"SRR1265828"	"seq-ab8896_H3K9me1_104560_N2_L3_Input_Rep1;seq-ab8896_H3K9me1_104560_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	23
23	"modENCODE_5036"	"seq-ab8896 H3K9me1 104560 N2 L3"	"L3 Larval Stage "	"ab8896_H3K9me1:104560 "	"H3K9me1 "	"N2 "	"20 degree celsius "	"GSM1195399;GSM1195400;GSM1195401;GSM1195402"	""	""	"SRR1265827"	"SRR1265829"	"seq-ab8896_H3K9me1_104560_N2_L3_Input_Rep2;seq-ab8896_H3K9me1_104560_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	23
24	"modENCODE_5155"	"seq-ab8898 H3K9me3 339901 N2 Eemb"	"Early Stage Embryos "	"AB8898 H3K9ME3:339901 "	"H3K9me3 "	"N2 "	"20 degree celsius "	"GSM1206340;GSM1206341;GSM1206342;GSM1206343"	""	""	"SRR1163577"	"SRR1163579"	"seq-ab8898_H3K9me3_339901_N2_Eemb_Input_Rep1;seq-ab8898_H3K9me3_339901_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	24
